idx: 1	0.313	0.325	0.327	0.965
idx: 2	0.303	0.308	0.318	0.929
idx: 3	0.339	0.322	0.339	0.999
idx: 4	0.318	0.322	0.336	0.976
idx: 6	0.312	0.310	0.329	0.950
idx: 8	0.314	0.337	0.333	0.984
idx: 10	0.339	0.318	0.332	0.989
idx: 11	0.323	0.316	0.333	0.972
idx: 12	0.317	0.333	0.338	0.987
idx: 15	0.323	0.304	0.322	0.950
idx: 17	0.310	0.322	0.339	0.971
idx: 18	0.307	0.324	0.331	0.962
idx: 25	0.348	0.310	0.331	0.989
idx: 28	0.329	0.317	0.343	0.989
idx: 29	0.331	0.301	0.319	0.951
idx: 35	0.337	0.317	0.319	0.972
idx: 42	0.338	0.306	0.320	0.963
idx: 43	0.323	0.316	0.328	0.967
idx: 44	0.332	0.326	0.340	0.998
idx: 47	0.298	0.315	0.328	0.940
idx: 50	0.338	0.317	0.331	0.986
idx: 51	0.323	0.321	0.328	0.971
idx: 53	0.330	0.323	0.334	0.987
idx: 54	0.321	0.326	0.338	0.984
idx: 60	0.338	0.317	0.333	0.987
idx: 62	0.316	0.309	0.332	0.957
idx: 63	0.305	0.328	0.331	0.963
idx: 68	0.319	0.316	0.326	0.962
idx: 71	0.308	0.321	0.325	0.953
idx: 72	0.321	0.322	0.341	0.983
idx: 74	0.308	0.331	0.340	0.980
idx: 80	0.306	0.313	0.324	0.943
idx: 95	0.313	0.312	0.319	0.944
idx: 100	0.307	0.328	0.335	0.970
idx: 104	0.322	0.320	0.325	0.967
idx: 107	0.317	0.320	0.334	0.971
idx: 109	0.323	0.320	0.328	0.972
idx: 111	0.315	0.327	0.341	0.983
idx: 113	0.320	0.327	0.339	0.986
idx: 115	0.319	0.310	0.328	0.958
idx: 118	0.313	0.335	0.333	0.981
idx: 121	0.315	0.328	0.330	0.972
idx: 125	0.318	0.321	0.326	0.966
idx: 126	0.318	0.304	0.315	0.937
idx: 127	0.329	0.325	0.336	0.990
idx: 128	0.333	0.307	0.320	0.959
idx: 133	0.321	0.332	0.329	0.982
idx: 138	0.314	0.339	0.340	0.993
idx: 140	0.314	0.322	0.330	0.966
idx: 141	0.317	0.327	0.340	0.985
idx: 147	0.311	0.303	0.323	0.938
